_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD
15381,ET,80,2011-01
15382,NY,136,2011-01
15383,SC,159,2011-01
15384,TO,367,2011-01
15385,ET,109,2011-02
15386,NY,150,2011-02
15387,SC,154,2011-02
15388,TO,383,2011-02
15389,ET,177,2011-03
15390,NY,231,2011-03
15391,SC,213,2011-03
15392,TO,589,2011-03
15393,ET,178,2011-04
15394,NY,277,2011-04
15395,SC,261,2011-04
15396,TO,660,2011-04
15397,ET,263,2011-05
15398,NY,376,2011-05
15399,SC,375,2011-05
15400,TO,871,2011-05
15401,ET,255,2011-06
15402,NY,365,2011-06
15403,SC,334,2011-06
15404,TO,870,2011-06
15405,ET,238,2011-07
15406,NY,364,2011-07
15407,SC,352,2011-07
15408,TO,989,2011-07
15409,ET,257,2011-08
15410,NY,366,2011-08
15411,SC,345,2011-08
15412,TO,965,2011-08
15413,ET,152,2011-09
15414,NY,255,2011-09
15415,SC,276,2011-09
15416,TO,638,2011-09
15417,ET,126,2011-10
15418,NY,201,2011-10
15419,SC,218,2011-10
15420,TO,468,2011-10
15421,ET,103,2011-11
15422,NY,191,2011-11
15423,SC,182,2011-11
15424,TO,340,2011-11
15425,ET,109,2011-12
15426,NY,171,2011-12
15427,SC,149,2011-12
15428,TO,356,2011-12
15429,ET,115,2012-01
15430,NY,176,2012-01
15431,SC,171,2012-01
15432,TO,440,2012-01
15433,ET,134,2012-02
15434,NY,195,2012-02
15435,SC,160,2012-02
15436,TO,390,2012-02
15437,ET,183,2012-03
15438,NY,234,2012-03
15439,SC,243,2012-03
15440,TO,567,2012-03
15441,ET,194,2012-04
15442,NY,225,2012-04
15443,SC,252,2012-04
15444,TO,561,2012-04
15445,ET,217,2012-05
15446,NY,294,2012-05
15447,SC,332,2012-05
15448,TO,807,2012-05
15449,ET,262,2012-06
15450,NY,353,2012-06
15451,SC,340,2012-06
15452,TO,888,2012-06
15453,ET,269,2012-07
15454,NY,404,2012-07
15455,SC,371,2012-07
15456,TO,971,2012-07
15457,ET,251,2012-08
15458,NY,353,2012-08
15459,SC,346,2012-08
15460,TO,980,2012-08
15461,ET,132,2012-09
15462,NY,233,2012-09
15463,SC,215,2012-09
15464,TO,563,2012-09
15465,ET,156,2012-10
15466,NY,208,2012-10
15467,SC,215,2012-10
15468,TO,486,2012-10
15469,ET,85,2012-11
15470,NY,180,2012-11
15471,SC,170,2012-11
15472,TO,391,2012-11
15473,ET,99,2012-12
15474,NY,163,2012-12
15475,SC,158,2012-12
15476,TO,365,2012-12
15477,ET,91,2013-01
15478,NY,169,2013-01
15479,SC,138,2013-01
15480,TO,365,2013-01
15481,ET,90,2013-02
15482,NY,163,2013-02
15483,SC,126,2013-02
15484,TO,346,2013-02
15485,ET,130,2013-03
15486,NY,217,2013-03
15487,SC,188,2013-03
15488,TO,455,2013-03
15489,ET,177,2013-04
15490,NY,298,2013-04
15491,SC,219,2013-04
15492,TO,666,2013-04
15493,ET,223,2013-05
15494,NY,310,2013-05
15495,SC,300,2013-05
15496,TO,748,2013-05
15497,ET,212,2013-06
15498,NY,286,2013-06
15499,SC,303,2013-06
15500,TO,778,2013-06
15501,ET,258,2013-07
15502,NY,450,2013-07
15503,SC,319,2013-07
15504,TO,972,2013-07
15505,ET,244,2013-08
15506,NY,324,2013-08
15507,SC,322,2013-08
15508,TO,931,2013-08
15509,ET,157,2013-09
15510,NY,232,2013-09
15511,SC,233,2013-09
15512,TO,607,2013-09
15513,ET,121,2013-10
15514,NY,163,2013-10
15515,SC,208,2013-10
15516,TO,448,2013-10
15517,ET,92,2013-11
15518,NY,162,2013-11
15519,SC,140,2013-11
15520,TO,315,2013-11
15521,ET,89,2013-12
15522,NY,146,2013-12
15523,SC,130,2013-12
15524,TO,314,2013-12
15525,ET,85,2014-01
15526,NY,186,2014-01
15527,SC,139,2014-01
15528,TO,375,2014-01
15529,ET,93,2014-02
15530,NY,134,2014-02
15531,SC,126,2014-02
15532,TO,364,2014-02
15533,ET,151,2014-03
15534,NY,201,2014-03
15535,SC,180,2014-03
15536,TO,530,2014-03
15537,ET,151,2014-04
15538,NY,240,2014-04
15539,SC,229,2014-04
15540,TO,674,2014-04
15541,ET,219,2014-05
15542,NY,318,2014-05
15543,SC,298,2014-05
15544,TO,847,2014-05
15545,ET,240,2014-06
15546,NY,309,2014-06
15547,SC,315,2014-06
15548,TO,942,2014-06
15549,ET,252,2014-07
15550,NY,348,2014-07
15551,SC,338,2014-07
15552,TO,1024,2014-07
15553,ET,239,2014-08
15554,NY,351,2014-08
15555,SC,288,2014-08
15556,TO,967,2014-08
15557,ET,169,2014-09
15558,NY,228,2014-09
15559,SC,225,2014-09
15560,TO,658,2014-09
15561,ET,126,2014-10
15562,NY,180,2014-10
15563,SC,206,2014-10
15564,TO,489,2014-10
15565,ET,77,2014-11
15566,NY,138,2014-11
15567,SC,111,2014-11
15568,TO,347,2014-11
15569,ET,109,2014-12
15570,NY,162,2014-12
15571,SC,157,2014-12
15572,TO,357,2014-12
15573,ET,123,2015-01
15574,NY,140,2015-01
15575,SC,149,2015-01
15576,TO,327,2015-01
15577,ET,108,2015-02
15578,NY,159,2015-02
15579,SC,130,2015-02
15580,TO,333,2015-02
15581,ET,155,2015-03
15582,NY,224,2015-03
15583,SC,222,2015-03
15584,TO,559,2015-03
15585,ET,149,2015-04
15586,NY,273,2015-04
15587,SC,257,2015-04
15588,TO,665,2015-04
15589,ET,245,2015-05
15590,NY,307,2015-05
15591,SC,306,2015-05
15592,TO,805,2015-05
15593,ET,268,2015-06
15594,NY,386,2015-06
15595,SC,346,2015-06
15596,TO,927,2015-06
15597,ET,317,2015-07
15598,NY,387,2015-07
15599,SC,390,2015-07
15600,TO,1090,2015-07
15601,ET,264,2015-08
15602,NY,336,2015-08
15603,SC,325,2015-08
15604,TO,930,2015-08
15605,ET,174,2015-09
15606,NY,251,2015-09
15607,SC,253,2015-09
15608,TO,713,2015-09
15609,ET,135,2015-10
15610,NY,211,2015-10
15611,SC,186,2015-10
15612,TO,478,2015-10
15613,ET,91,2015-11
15614,NY,176,2015-11
15615,SC,149,2015-11
15616,TO,342,2015-11
15617,ET,104,2015-12
15618,NY,169,2015-12
15619,SC,144,2015-12
15620,TO,335,2015-12
15621,ET,92,2016-01
15622,NY,156,2016-01
15623,SC,131,2016-01
15624,TO,346,2016-01
15625,ET,123,2016-02
15626,NY,170,2016-02
15627,SC,173,2016-02
15628,TO,364,2016-02
15629,ET,155,2016-03
15630,NY,197,2016-03
15631,SC,204,2016-03
15632,TO,517,2016-03
15633,ET,197,2016-04
15634,NY,257,2016-04
15635,SC,246,2016-04
15636,TO,695,2016-04
15637,ET,247,2016-05
15638,NY,326,2016-05
15639,SC,306,2016-05
15640,TO,895,2016-05
15641,ET,255,2016-06
15642,NY,344,2016-06
15643,SC,341,2016-06
15644,TO,1071,2016-06
15645,ET,274,2016-07
15646,NY,384,2016-07
15647,SC,348,2016-07
15648,TO,1041,2016-07
15649,ET,296,2016-08
15650,NY,358,2016-08
15651,SC,333,2016-08
15652,TO,1072,2016-08
15653,ET,228,2016-09
15654,NY,265,2016-09
15655,SC,207,2016-09
15656,TO,656,2016-09
15657,ET,139,2016-10
15658,NY,187,2016-10
15659,SC,171,2016-10
15660,TO,489,2016-10
15661,ET,82,2016-11
15662,NY,148,2016-11
15663,SC,135,2016-11
15664,TO,388,2016-11
15665,ET,96,2016-12
15666,NY,164,2016-12
15667,SC,125,2016-12
15668,TO,362,2016-12
15669,ET,102,2017-01
15670,NY,146,2017-01
15671,SC,147,2017-01
15672,TO,347,2017-01
15673,ET,104,2017-02
15674,NY,170,2017-02
15675,SC,139,2017-02
15676,TO,357,2017-02
15677,ET,183,2017-03
15678,NY,237,2017-03
15679,SC,223,2017-03
15680,TO,608,2017-03
15681,ET,173,2017-04
15682,NY,276,2017-04
15683,SC,222,2017-04
15684,TO,627,2017-04
15685,ET,234,2017-05
15686,NY,323,2017-05
15687,SC,323,2017-05
15688,TO,894,2017-05
15689,ET,250,2017-06
15690,NY,350,2017-06
15691,SC,346,2017-06
15692,TO,943,2017-06
15693,ET,287,2017-07
15694,NY,367,2017-07
15695,SC,320,2017-07
15696,TO,971,2017-07
15697,ET,324,2017-08
15698,NY,344,2017-08
15699,SC,312,2017-08
15700,TO,1066,2017-08
15701,ET,207,2017-09
15702,NY,268,2017-09
15703,SC,233,2017-09
15704,TO,729,2017-09
15705,ET,144,2017-10
15706,NY,219,2017-10
15707,SC,194,2017-10
15708,TO,552,2017-10
15709,ET,98,2017-11
15710,NY,185,2017-11
15711,SC,160,2017-11
15712,TO,393,2017-11
15713,ET,114,2017-12
15714,NY,156,2017-12
15715,SC,132,2017-12
15716,TO,385,2017-12
15717,ET,128,2018-01
15718,NY,156,2018-01
15719,SC,156,2018-01
15720,TO,375,2018-01
15721,ET,145,2018-02
15722,NY,182,2018-02
15723,SC,149,2018-02
15724,TO,344,2018-02
15725,ET,177,2018-03
15726,NY,235,2018-03
15727,SC,187,2018-03
15728,TO,538,2018-03
15729,ET,188,2018-04
15730,NY,238,2018-04
15731,SC,239,2018-04
15732,TO,657,2018-04
15733,ET,229,2018-05
15734,NY,337,2018-05
15735,SC,302,2018-05
15736,TO,880,2018-05
15737,ET,279,2018-06
15738,NY,337,2018-06
15739,SC,338,2018-06
15740,TO,964,2018-06
15741,ET,324,2018-07
15742,NY,408,2018-07
15743,SC,347,2018-07
15744,TO,1090,2018-07
15745,ET,365,2018-08
15746,NY,323,2018-08
15747,SC,392,2018-08
15748,TO,1117,2018-08
15749,ET,209,2018-09
15750,NY,256,2018-09
15751,SC,216,2018-09
15752,TO,719,2018-09
15753,ET,187,2018-10
15754,NY,227,2018-10
15755,SC,186,2018-10
15756,TO,582,2018-10
15757,ET,140,2018-11
15758,NY,199,2018-11
15759,SC,169,2018-11
15760,TO,397,2018-11
15761,ET,108,2018-12
15762,NY,157,2018-12
15763,SC,123,2018-12
15764,TO,329,2018-12
15765,ET,123,2019-01
15766,NY,162,2019-01
15767,SC,151,2019-01
15768,TO,341,2019-01
15769,ET,143,2019-02
15770,NY,190,2019-02
15771,SC,158,2019-02
15772,TO,382,2019-02
15773,ET,170,2019-03
15774,NY,236,2019-03
15775,SC,240,2019-03
15776,TO,576,2019-03
15777,ET,193,2019-04
15778,NY,290,2019-04
15779,SC,237,2019-04
15780,TO,724,2019-04
15781,ET,235,2019-05
15782,NY,336,2019-05
15783,SC,285,2019-05
15784,TO,879,2019-05
15785,ET,242,2019-06
15786,NY,315,2019-06
15787,SC,280,2019-06
15788,TO,901,2019-06
15789,ET,308,2019-07
15790,NY,407,2019-07
15791,SC,323,2019-07
15792,TO,1079,2019-07
15793,ET,281,2019-08
15794,NY,384,2019-08
15795,SC,329,2019-08
15796,TO,1011,2019-08
15797,ET,220,2019-09
15798,NY,247,2019-09
15799,SC,221,2019-09
15800,TO,738,2019-09
15801,ET,150,2019-10
15802,NY,228,2019-10
15803,SC,172,2019-10
15804,TO,576,2019-10
15805,ET,120,2019-11
15806,NY,198,2019-11
15807,SC,156,2019-11
15808,TO,433,2019-11
15809,ET,122,2019-12
15810,NY,187,2019-12
15811,SC,153,2019-12
15812,TO,393,2019-12
15813,ET,130,2020-01
15814,NY,168,2020-01
15815,SC,171,2020-01
15816,TO,426,2020-01
15817,ET,130,2020-02
15818,NY,184,2020-02
15819,SC,160,2020-02
15820,TO,434,2020-02
15821,ET,101,2020-03
15822,NY,122,2020-03
15823,SC,99,2020-03
15824,TO,294,2020-03
15825,TO,47,2020-04
15826,TO,123,2020-05
15827,NY,167,2020-06
15828,SC,222,2020-06
15829,TO,248,2020-06
15830,NY,718,2020-07
15831,SC,782,2020-07
15832,NY,776,2020-08
15833,SC,637,2020-08
15834,NY,864,2020-09
15835,SC,569,2020-09
15836,NY,536,2020-10
15837,SC,581,2020-10
15838,NY,366,2020-11
15839,SC,320,2020-11
15840,NY,168,2020-12
15841,SC,200,2020-12
15842,NY,286,2021-01
15843,SC,78,2021-01
15844,NY,427,2021-02
15845,SC,108,2021-02
15846,NY,631,2021-03
15847,SC,285,2021-03
15848,ET,1,2021-04
15849,NY,560,2021-04
15850,SC,191,2021-04
15851,NY,518,2021-05
15852,SC,187,2021-05
15853,NY,677,2021-06
15854,SC,215,2021-06
15855,TO,3,2021-06
15856,NY,997,2021-07
15857,SC,375,2021-07
15858,NY,372,2021-08
15859,SC,266,2021-08
15860,TO,922,2021-08
15861,TO,1773,2021-09
15862,TO,1413,2021-10
15863,TO,783,2021-11
15864,NY,1,2021-12
15865,TO,689,2021-12
15866,TO,472,2022-01
15867,TO,536,2022-02
15868,TO,1220,2022-03
15869,TO,1265,2022-04
15870,TO,1269,2022-05
15871,NY,455,2022-06
15872,TO,1658,2022-06
15873,NY,559,2022-07
15874,TO,1507,2022-07
15875,NY,647,2022-08
15876,TO,1656,2022-08
15877,NY,467,2022-09
15878,TO,1108,2022-09
15879,NY,304,2022-10
15880,TO,611,2022-10
15881,NY,329,2022-11
15882,TO,476,2022-11
15883,NY,128,2022-12
15884,TO,556,2022-12
15885,NY,149,2023-01
15886,TO,563,2023-01
15887,NY,156,2023-02
15888,TO,617,2023-02
15889,NY,215,2023-03
15890,TO,929,2023-03
15891,NY,318,2023-04
15892,TO,1086,2023-04
15893,NY,305,2023-05
15894,TO,1507,2023-05
15895,NY,416,2023-06
15896,TO,1507,2023-06
15897,NY,439,2023-07
15898,TO,1628,2023-07
15899,NY,412,2023-08
15900,TO,1649,2023-08
15901,NY,266,2023-09
15902,TO,1156,2023-09
15903,NY,296,2023-10
15904,TO,811,2023-10
15905,NY,260,2023-11
15906,TO,606,2023-11
15907,NY,99,2023-12
15908,TO,646,2023-12
15909,NY,135,2024-01
15910,TO,840,2024-01
15911,NY,193,2024-02
15912,TO,800,2024-02
15913,NY,114,2024-03
15914,TO,1116,2024-03
15915,NY,270,2024-04
15916,TO,1279,2024-04
15917,NY,409,2024-05
15918,TO,1347,2024-05
15919,NY,394,2024-06
15920,TO,1355,2024-06
15921,NY,670,2024-07
15922,TO,1546,2024-07
15923,NY,675,2024-08
15924,TO,1406,2024-08
